Date,CourseId,StudentId,Time In,Time out,Time_in,Time_out,Time_of_Session,day,month,week
9/7/16,MAT002C1,N00824043,14:36,20:01,14.6,20.02,5.42,Wed,Sep,37
9/7/16,MAT002P3,N00784248,16:25,17:26,16.42,17.43,1.02,Wed,Sep,37
9/7/16,MAT003E11,N00860878,16:15,17:52,16.25,17.87,1.62,Wed,Sep,37
9/7/16,MAT100G1,N00790945,8:29,9:02,8.48,9.03,0.55,Wed,Sep,37
9/7/16,MAT100G1,N00852249,13:14,13:21,13.23,13.35,0.12,Wed,Sep,37
9/7/16,MAT100G2,N00681844,10:28,10:47,10.47,10.78,0.32,Wed,Sep,37
9/7/16,MAT100G3,N00852811,12:24,12:46,12.4,12.77,0.37,Wed,Sep,37
9/7/16,MAT101NA,N00644586,12:05,15:08,12.08,15.13,3.05,Wed,Sep,37
9/7/16,MAT102CB,N00833355,15:04,17:51,15.07,17.85,2.78,Wed,Sep,37
9/7/16,MAT102RC,N00834680,10:03,10:52,10.05,10.87,0.82,Wed,Sep,37
9/7/16,MAT109A1,N00422610,14:00,16:11,14,16.18,2.18,Wed,Sep,37
9/7/16,MAT109A1,N00848733,15:40,15:56,15.67,15.93,0.27,Wed,Sep,37
9/7/16,MAT109A2,N00746183,9:47,11:31,9.78,11.52,1.73,Wed,Sep,37
9/7/16,MAT109A2,N00833414,15:54,20:01,15.9,20.02,4.12,Wed,Sep,37
9/7/16,MAT109C1,N00379240,17:27,17:49,17.45,17.82,0.37,Wed,Sep,37
9/7/16,MAT109C1,N00768863,9:17,9:19,9.28,9.32,0.03,Wed,Sep,37
9/7/16,MAT109C1,N00768863,17:23,17:47,17.38,17.78,0.4,Wed,Sep,37
9/7/16,MAT109C1,N00810021,11:51,12:00,11.85,12,0.15,Wed,Sep,37
9/7/16,MAT109G2,N00734680,12:21,13:29,12.35,13.48,1.13,Wed,Sep,37
9/7/16,MAT109G2,N00843923,12:23,13:12,12.38,13.2,0.82,Wed,Sep,37
9/7/16,MAT109M5,N00464763,15:13,15:16,15.22,15.27,0.05,Wed,Sep,37
9/7/16,MAT109M5,N00815696,13:00,13:44,13,13.73,0.73,Wed,Sep,37
9/7/16,MAT111C1,N00863739,14:40,20:01,14.67,20.02,5.35,Wed,Sep,37
9/7/16,MAT111K2,N00827536,9:22,10:08,9.37,10.13,0.77,Wed,Sep,37
9/7/16,MAT114EDB,N00830103,11:02,11:54,11.03,11.9,0.87,Wed,Sep,37
9/7/16,MAT122G1,N00854140,9:28,10:42,9.47,10.7,1.23,Wed,Sep,37
9/7/16,MAT122J1,N00713137,12:04,20:01,12.07,20.02,7.95,Wed,Sep,37
9/7/16,MAT122J1,N00748606,13:46,14:04,13.77,14.07,0.3,Wed,Sep,37
9/7/16,MAT122J2,N00861317,10:07,10:19,10.12,10.32,0.2,Wed,Sep,37
9/7/16,MAT122P1,N00813469,16:40,16:44,16.67,16.73,0.07,Wed,Sep,37
9/7/16,MAT123M1,N00821415,13:39,13:45,13.65,13.75,0.1,Wed,Sep,37
9/7/16,MAT123R1,N00787794,14:21,15:23,14.35,15.38,1.03,Wed,Sep,37
9/7/16,MAT123R1,N00861377,12:28,13:20,12.47,13.33,0.87,Wed,Sep,37
9/7/16,MAT225M1,N00844970,15:32,17:09,15.53,17.15,1.62,Wed,Sep,37
9/7/16,MAT225TA1,N00829060,19:51,20:01,19.85,20.02,0.17,Wed,Sep,37
9/7/16,MAT241JA,N00820920,10:57,12:10,10.95,12.17,1.22,Wed,Sep,37
9/7/16,MAT001BB,N00856199,9:34,20:01,9.57,20.02,10.45,Wed,Sep,37
9/7/16,MAT002A1,N00838407,9:11,12:17,9.18,12.28,3.1,Wed,Sep,37
9/7/16,MAT100D1,N00827845,10:41,11:55,10.68,11.92,1.23,Wed,Sep,37
9/7/16,MAT100D1,N00830333,13:47,14:19,13.78,14.32,0.53,Wed,Sep,37
9/7/16,MAT100G1,N00790945,15:13,15:38,15.22,15.63,0.42,Wed,Sep,37
9/7/16,MAT100G2,N00681844,10:09,10:17,10.15,10.28,0.13,Wed,Sep,37
9/7/16,MAT100G3,N00752449,12:19,12:26,12.32,12.43,0.12,Wed,Sep,37
